entry_date,rounded_time,price,lmp_westzn,load_value,wind_generation,online_price_adder,surface_temperature,relative_humidity,surface_dewpoint_temperature,wind_chill_temperature,wind_speed,dam_price
10/28/2019,15:15:00,22.63666667,22.35333333,1270.435,5142.47,0,5.475,65.85,-0.375,1.880553358,18.35,-1.13
10/28/2019,15:30:00,23.28333333,22.99666667,1266.56,4804.793333,0.000166667,5.85,64.4,-0.35,2.543709363,16.9,-1.13
10/28/2019,15:45:00,23.42,23.12666667,1262.685,4507.7,0.0002,6.225,62.95,-0.325,3.206865368,15.45,-1.13
10/28/2019,16:00:00,27.28,26.93333333,1258.81,4315.153333,0.001066667,6.6,61.5,-0.3,3.870021373,14,2.81
10/28/2019,16:15:00,25.95333333,25.62333333,1256.0125,4093.573333,0.000566667,6.975,60.525,-0.125,4.381897497,13.65,2.81
10/28/2019,16:30:00,49.88666667,49.26666667,1253.215,3753.333333,0.011,7.35,59.55,0.05,4.89377362,13.3,2.81
10/28/2019,16:45:00,29.74333333,29.37333333,1250.4175,3469.69,0.0064,7.725,58.575,0.225,5.405649744,12.95,2.81
10/28/2019,17:00:00,25.82,25.49666667,1247.62,3270.463333,0.000633333,8.1,57.6,0.4,5.917525867,12.6,0
10/28/2019,17:15:00,24.15666667,23.84666667,1244.19,3165.89,0.000233333,8.425,56.7,0.45,6.287893347,12.775,0
10/28/2019,17:30:00,27.52333333,27.18,1240.76,3014.626667,0.0013,8.75,55.8,0.5,6.658260826,12.95,0
10/28/2019,17:45:00,27.71333333,27.37,1237.33,2910.59,0.002233333,9.075,54.9,0.55,7.028628305,13.125,0
10/28/2019,18:00:00,29.49333333,29.12333333,1233.9,2889.55,0.005833333,9.4,54,0.6,7.398995785,13.3,8.14
10/28/2019,18:15:00,28.01333333,27.66,1235.9675,2860.24,0.0037,9.825,53.025,0.725,8.109614334,12.05,8.14
10/28/2019,18:30:00,29.52,29.13666667,1238.035,2868.22,0.007666667,10.25,52.05,0.85,8.820232884,10.8,8.14
10/28/2019,18:45:00,32.76666667,32.33333333,1240.1025,2900.803333,0.017,10.675,51.075,0.975,9.530851433,9.55,8.14
10/28/2019,19:00:00,29.52666667,29.14666667,1242.17,2990.99,0.0058,11.1,50.1,1.1,10.24146998,8.3,7.5
10/28/2019,19:15:00,25.99333333,25.65,1240.8075,3112.13,0.0365,11.8,47.875,1.075,10.92398297,9.375,7.5
10/28/2019,19:30:00,24.66333333,24.33666667,1239.445,3249.756667,0.018733333,12.5,45.65,1.05,11.60649596,10.45,7.5
10/28/2019,19:45:00,25.30666667,24.98,1238.0825,3264.65,0.023933333,13.2,43.425,1.025,12.28900894,11.525,7.5
10/28/2019,20:00:00,25.96333333,25.62666667,1236.72,3295.12,0.052166667,13.9,41.2,1,12.97152193,12.6,15.35
10/28/2019,20:15:00,29.62,29.23333333,1241.395,3048.436667,0.251533333,14.575,39.6,1,13.82597923,12.25,15.35
10/28/2019,20:30:00,52.98333333,52.26,1246.07,2888.113333,0.841066667,15.25,38,1,14.68043653,11.9,15.35
10/28/2019,20:45:00,37.27666667,36.77,1250.745,2924.22,0.620266667,15.925,36.4,1,15.53489383,11.55,15.35
10/28/2019,21:00:00,27.13666667,26.77666667,1255.42,3090.143333,0.182666667,16.6,34.8,1,16.38935114,11.2,42.16
10/28/2019,21:15:00,25.51,25.17333333,1265.4075,3212.506667,0.104566667,16.8,34.45,1.025,16.59907427,11.55,42.16
10/28/2019,21:30:00,24.87333333,24.55333333,1275.395,3349.616667,0.0522,17,34.1,1.05,16.80879741,11.9,42.16
10/28/2019,21:45:00,24.87333333,24.55,1285.3825,3538.443333,0.054233333,17.2,33.75,1.075,17.01852055,12.25,42.16
10/28/2019,22:00:00,24.31,23.99333333,1295.37,3704.15,0.033066667,17.4,33.4,1.1,17.22824369,12.6,40.33
10/28/2019,22:15:00,23.62,23.31,1297.3125,3901.693333,0.0098,17.2,33.825,1.1,16.96940346,12.775,40.33
10/28/2019,22:30:00,23.69333333,23.37333333,1299.255,4223.853333,0.0131,17,34.25,1.1,16.71056323,12.95,40.33
10/28/2019,22:45:00,22.85333333,22.54333333,1301.1975,4561.343333,0.005066667,16.8,34.675,1.1,16.451723,13.125,40.33
10/28/2019,23:00:00,22.67333333,22.46333333,1303.14,4958.08,0.0022,16.6,35.1,1.1,16.19288277,13.3,15.29
10/28/2019,23:15:00,21.10666667,21.10333333,1304.5825,5216.833333,0.001233333,16.05,36.575,1.15,15.51095306,13.4,15.29
10/28/2019,23:30:00,23.51,23.50666667,1306.025,5526.01,0.009733333,15.5,38.05,1.2,14.82902334,13.5,15.29
10/28/2019,23:45:00,24.86,24.85333333,1307.4675,5857.39,0.086233333,14.95,39.525,1.25,14.14709363,13.6,15.29
10/29/2019,0:00:00,27.49,27.48,1308.91,6140.543333,0.4204,14.4,41,1.3,13.46516391,13.7,-74.37
10/29/2019,0:15:00,25.23,25.23,1319.62,6339.936667,0.8765,13.675,43.35,1.375,12.51786702,14.225,-74.37
10/29/2019,0:30:00,23.34,23.34,1330.33,6680.506667,0.047166667,12.95,45.7,1.45,11.57057014,14.75,-74.37
10/29/2019,0:45:00,21.25333333,21.37,1341.04,7193.166667,0.009266667,12.225,48.05,1.525,10.62327325,15.275,-74.37
10/29/2019,1:00:00,20.29666667,20.53333333,1351.75,7855.896667,0.000166667,11.5,50.4,1.6,9.675976359,15.8,-183.91
10/29/2019,1:15:00,20.08333333,20.08333333,1357.9675,8430.933333,0.00115,10.975,52.15,1.55,8.944746001,16.525,-183.91
10/29/2019,1:30:00,20.67333333,20.67333333,1364.185,8695.846667,0.002833333,10.45,53.9,1.5,8.213515643,17.25,-183.91
10/29/2019,1:45:00,22.22,22.22,1370.4025,8744.856667,0.0123,9.925,55.65,1.45,7.482285284,17.975,-183.91
10/29/2019,2:00:00,21.25333333,21.25333333,1376.62,8973.526667,0.006933333,9.4,57.4,1.4,6.751054926,18.7,-107.33
10/29/2019,2:15:00,322.7166667,322.7166667,1370.505,9148.286667,0.2011,9.075,58.9,1.45,6.294914248,19.15,-107.33
10/29/2019,2:30:00,22,22.26333333,1364.39,9228.176667,0.004033333,8.75,60.4,1.5,5.838773569,19.6,-107.33
10/29/2019,2:45:00,20.83666667,21.23666667,1358.275,9395.53,0.001633333,8.425,61.9,1.55,5.382632891,20.05,-107.33
10/29/2019,3:00:00,21.59666667,21.59666667,1352.16,9266.923333,0.002466667,8.1,63.4,1.6,4.926492213,20.5,-93.34
10/29/2019,3:15:00,21.09666667,21.09333333,1328.9375,9157.776667,0.0033,7.725,65.775,1.725,4.483523876,20.225,-93.34
10/29/2019,3:30:00,26.34,26.33666667,1305.715,9142.943333,0.007966667,7.35,68.15,1.85,4.04055554,19.95,-93.34
10/29/2019,3:45:00,21.9,21.89,1282.4925,9041.67,0.001133333,6.975,70.525,1.975,3.597587203,19.675,-93.34
10/29/2019,4:00:00,22.23,22.23,1259.27,8988.043333,0.0008,6.6,72.9,2.1,3.154618866,19.4,-100.8
10/29/2019,4:15:00,20.77333333,20.77333333,1245.5525,8947.603333,0.000166667,6.35,73.95,2.05,2.746368799,20.225,-100.8
10/29/2019,4:30:00,30.27666667,30.63333333,1231.835,8951.726667,0.00402,6.1,75,2,2.338118732,21.05,-100.8
10/29/2019,4:45:00,182.7433333,182.8933333,1218.1175,8525.646667,0.013533333,5.85,76.05,1.95,1.929868665,21.875,-100.8
10/29/2019,5:00:00,84,84.54,1204.4,8247.293333,0.024,5.6,77.1,1.9,1.521618598,22.7,-90.39
10/29/2019,5:15:00,20.75,20.75,1200.645,8167.89,0.015,5.6,76.8,1.875,1.521618598,22.7,-90.39
10/29/2019,5:30:00,19.72333333,19.72333333,1196.89,8261.513333,0.0067,5.6,76.5,1.85,1.521618598,22.7,-90.39
10/29/2019,5:45:00,20.81333333,20.95666667,1193.135,8203.003333,0.029166667,5.6,76.2,1.825,1.521618598,22.7,-90.39
